"id","name","sub_title","preparation_method","nut_recommend","comment","minutes","meal_types","ingredients"
"6","עוגיות חומוס ","מתכון מהיר לניחוח מושלם בבית וטעם נפלא בפה","מחממים תנור ל 180 מעלות.\r\nטוחנים את גרגירי החומוס.\r\nמוסיפים את כל שאר המרכיבים. \r\nבעזרת כפית מגלגלים לכדורים קטנים ומשטחים על תבנית האפייה. \r\nאופים למשל 16-18 דק\' עד שהעוגיות פריכות.\r\nנותנים להם להתקרר - ובתאבון!","מומלץ להשתמש בממרח בוטנים ללא סוכר, קיים בעיקר בחנויות בריאות. \r\n2 עוגיות  חומוס מספקות כ 10% מצריכת הסיבים המומלצת לנשים עד גיל 50 ואפילו יותר לנשים מעל גיל 50. \r\nהעוגיות משביעות יותר בגלל אותה תכולת סיבים ומהוות תחליף לעוגיות פשוטות. \r\nטיפ משפחתי: הכינו את העוגיות ביחד עם הילדים, הסבירו להם מהו חומוס ומהי שיבולת שועל. למידה חוויתית נצרבת לנו בזיכרון. ","","10","נשנוש, קינוחים","בוטן, דבש (תערובת), חומוס, שיבולת שועל"
"8","מרק אפונה","מרק קל, מהיר וטעים","שוטפים ומנקים את האפונה. \r\nבסיר עם מכסה מטגנים קלות את הבצל עד להזהבה. \r\nקוצצים גזר וכרפס לקוביות ומכניסים לסיר, מוסיפים שום (לא חובה) ואת האפונה הנקייה. \r\nממערבבים ומוסיפים מים (שימו לב שהמים צריכים לכסות את האפונה).\r\nמבשלים על אש נמוכה כשעה.\r\nכשהאפונה מתרככת מוסיפים תבלינים לפי טעם: מלח, פלפל וכו\'.\r\nניתן להגיש את המרק גם טחון (בעזרת מוט) במידה ואוהבים את המרקם.","אל תטגנו את הבצל עם כמות שמן \"לפי העין\", הקפידו על שימוש מדוד ב-2 כפות וסגרו את הסיר, הצטברות האדים תתרום לאידוי הבצל. \r\nמנת מרק מכילה כ 50% מקצובת החלבון והסיבים המומלצים לילדים בגילאי 4-8. \r\nטיפ משפחתי: מרק קטניות הוא ארוחת ערב מושלמת בימי החורף. \r\nתוספת מלח למנה תעלה את כמות הנתרן. בכפית מלח יש 2300 מ\"ג נתרן. כאשר הכמות המקסימלית הרצויה הינה 2400 מ\"ג נתרן ליום. מערבבים, טועמים ואז מחליטים אם להוסיף עוד מלח.\r\n","","15","ארוחת צהריים, ארוחת ערב, תוספת, מרקים","אפונה, בצל, גזר, זית, סלרי, כרפס, פלפל, שחור, שום"
"9","כדורי תמרים ושומשום","חלופה נפלאה לכדורי השוקולד המוכרים","מחממים בסיר תמרים, מים, סילאן וקינמון.\r\nמערבבים היטב עד לקבלת מחית חלקה וללא גושים. \r\nמסירים מהאש מצננים עשר דקות ומוסיפים טחינה גולמית.\r\nבינתיים קולים במחבת את כל האגוזים על אש קטנה ותוך ערבוב. \r\nלאחר מכן חותכים אותם על קרש חיתוך, מוסיפים למחית התמרים. \r\nמחממים תנור ל 150 מעלות, בידיים רטובות מגלגלים את המחית לכדורים וטובלים בשומשום. \r\nאופים 25 דק\' ומצננים.","מנה טבעונית, תחלופה לכדורי השוקולד המתוקים והעשירים בסוכר, עשירה בשומן ובהתאם לכך משביעה לאורך זמן. \r\n2 כדורי תמרים מספקים כ 100 מ\"ג סידן. \r\nשימו לב החישוב של ערכי המנה אינו כולל את השומשום לקישוט. כפית שומשום תעשיר את המנה ב 20 קק\"ל ו 1.5 גר\' שומן. \r\n","","30","נשנוש, קינוחים","אגוז מלך, סומסום, סירופ מייפל, פיסטוק, קינמון, קשיו, תמר"
"10","עוגיות שוקולד ופצפוצים","עוגיות מושלמות לקפה","ממסים את השוקולד ומוסיפים אליו את כל המרכיבים. \r\nמערבבים ומניחים בצד ל15 דק\'. \r\nמחממים תנור ל 130 מעלות ובתבנית מרופדת מניחים גבעות של תערובות באמצעות 2 כפיות. \r\nאופים כ 15 דק\' ומצננים. \r\n\r\n\r\n\r\n\r\n\r\n","עוגיה מזינה ישמכילה יותר חלבון וסיבים תזונתיים וגם סוג השומן בה הינו בלתי רווי, המיטיב עם פרופיל השומנים בדם\r\n","","35","נשנוש, קינוחים","אורז, סומסום, פולי קקאו, שקד, תמר"
"12","סלומון בתנור ברוטב סויה ודבש","מתכון קל לדג סלמון אפוי בתנור ברוטב מתקתק ","מחממים תנור ל 200 מעלות.\r\nמערבבים את כל חומרי הרוטב ומשאירים בצד 2 כפות רוטב.\r\nמסדרים את הדג על תבנית ושופכים את הרוטב. \r\nאופים כ 8-10 דק\'.\r\nמוציאים, שופכים את הרוטב שהשארנו בצד .\r\nממשיכים לאפות עוד 2-4 דק\'. \r\nבתאבון!\r\n\r\n\r\n\r\n\r\n","דג סלומון, הינו מקור טוב לאומגה 3 החיוני לגופנו. ומנה (150 גרם) מספקת כ כ 70% מהצריכה היומית של ויטמין 12B  המומלצת לגברים ונשים מבוגרים.\r\nארגון ה FDA האמריקאי ממליץ על צריכה של 2-3 מנות דג (בניהן סלומון כבחירה מובילה) לנשים בהריון, מניקות ולילדים. \r\nשים לב שרוטב הסויה מכיל כמות נתרן (מלח) גבוה ועל כן - אל תמליח/י את המנה לפני שטעמת אותה.\r\nשימוש ברוטב סויה מופחת נתרן, שעדין מלוח מאוד, (למשל רוטב הסויה עם התוית הירוקה של חברת kikkoman) יפחית בערך 200 מ\"ג נתרן מהמנה (לכל כף!!).  \r\nתוספת מלח שולחן למנה תעלה את כמות הנתרן. בכפית מלח יש 2300 מ\"ג נתרן. כאשר הכמות המקסימלית הרצויה הינה 2400 מ\"ג נתרן ליום. ","שימו לב - במידה ויצאה רגישות לגלוטן מומלץ לבחור ברוטב סויה שאינו מכיל גלוטן.","15","ארוחת צהריים, ארוחת ערב","דבש (תערובת), זית, לימון, סלומון, פולי סויה, שום"
"15","סלומון בתנור ברוטב סויה וסילאן","מתכון קל לדג סלמון אפוי בתנור ברוטב מתקתק ","מחממים תנור ל 200 מעלות.\r\nמערבבים את כל חומרי הרוטב ומשאירים בצד 2 כפות רוטב.\r\nמסדרים את הדג על תבנית ושופכים את הרוטב. \r\nאופים כ 8-10 דק\'. \r\nמוציאים, שופכים את הרוטב שהשארנו בצד.\r\nממשיכים לאפות עוד 2-4 דק\'. \r\nבתאבון!\r\n\r\n\r\n\r\n\r\n","דג סלומון, הינו מקור טוב לאומגה 3 החיוני לגופנו. ומנה (150 גרם) מספקת כ כ 70% מהצריכה היומית של ויטמין 12B  המומלצת לגברים ונשים מבוגרים.\r\nארגון ה FDA האמריקאי ממליץ על צריכה של 2-3 מנות דג (בניהן סלומון כבחירה מובילה) לנשים בהריון, מניקות ולילדים. \r\nשים לב שרוטב הסויה מכיל כמות נתרן (מלח) גבוה ועל כן - אל תמליח/י את המנה לפני שטעמת אותה.\r\nשימוש ברוטב סויה מופחת נתרן, שעדין מלוח מאוד, (למשל רוטב הסויה עם התוית הירוקה של חברת kikkoman) יפחית בערך 200 מ\"ג נתרן מהמנה (לכל כף!!).  \r\nתוספת מלח שולחן למנה תעלה את כמות הנתרן. בכפית מלח יש 2300 מ\"ג נתרן. כאשר הכמות המקסימלית הרצויה הינה 2400 מ\"ג נתרן ליום.\r\n","","15","ארוחת צהריים, ארוחת ערב","זית, לימון, סלומון, פולי סויה, שום, תמר"
"16","כרובית מעושנת בתנור","כרובית בניחוח מעושן ","מחממים תנור ל 200 מעלות. \r\nמנקים את ראש הכרובית מהעלים.\r\nמחלקים את הראש ל 4 חלקים. \r\nכל חלק חותכים ל 6-8 חתיכות קטנות. \r\nמסדרים על תבנית אפייה מרופדת בנייר אפייה. \r\nמפזרים על הכרובית שמן זית, מלח ופפריקה. \r\nאופים כ 20 דק\' עד שהכרובית קריספית ורכה (בודקים עם מזלג). \r\nמגישים חם!\r\n","כרובית, ממשפחת המצליבים, היא ירק עשיר בויטמין C. \r\nמנה 1 מהווה כ 100% מהקצובה היומית המומלצת לילדים בגילאי 4-8, 50% לילדים בגילאי 9-13 ובערך 30% למבוגרים מעל גיל 19. \r\nתוספת מלח שולחן למנה תעלה את כמות הנתרן. בכפית מלח יש 2300 מ\"ג נתרן. כאשר הכמות המקסימלית הרצויה הינה 2400 מ\"ג נתרן ליום.","","25","ארוחת צהריים, ארוחת ערב, נשנוש, תוספת","זית, כרובית, פפריקה, תבלין"
"17","סלט אבטיח, פטה ונענע","קיצי ומרענן","לתוך מסננת חותכים את האבטיח לקוביות של 2.5 ס\"מ בערך. \r\nבקערה קטנה מערבבים היטב שמן זית, מיץ לימון, מלח ופלפל שחור. \r\nמעבירים את האבטיח החתוך לקערה גדולה ומוסיפים את הרוטב.\r\nקוצצים נענע ומוסיפים לקערה. \r\nמפזרים גבינת פטה (חלב פרה) מעל. \r\nמומלץ להרכיב את הסלט ממש לפני הארוחה מכיון שהרוטב והמלח יגרמו לנהצטברות נוזלים בתחתית הקערה.\r\n","אבטיח, פרי קיצי ומרענן בחודשי הקיץ הוא פרי עשיר בויטמין C. \r\nמנה 1 מהווה כמעט 100% מהקצובה היומית המומלצת לילדים בגילאי 4-8, 50% לילדים בגילאי 9-13.\r\nגבינת הפטה במנה תורמת לתכולת הנתרן הגבוה. בסופר, השוו בין המותגים השונים של גבינת הפטה ורכשו את המוצר עם תכולת הנתרן הנמוכה ביותר. ","","30","ארוחת ערב, נשנוש, סלטים","אבטיח, גבינת רנט (חלב פרה), זית, חלב ( פרה), לימון, מנטה, נענע, פלפל, שחור"
"18","סלט אבטיח, גבינת כבשים ונענע","קיצי ומרענן","לתוך מסננת חותכים את האבטיח לקוביות של 2.5 ס\"מ בערך. \r\nבקערה קטנה מערבבים היטב שמן זית, מיץ לימון, מלח ופלפל שחור. \r\nמעבירים את האבטיח החתוך לקערה גדולה ומוסיפים את הרוטב.\r\nקוצצים נענע ומוסיפים לקערה. \r\nמפזרים גבינת פטה (כבשים) מעל. \r\nמומלץ להרכיב את הסלט ממש לפני הארוחה מכיון שהרוטב והמלח יגרמו להצטברות נוזלים בתחתית הקערה.\r\n","אבטיח, פרי קיצי ומרענן בחודשי הקיץ הוא פרי עשיר בויטמין C.\r\nמנה 1 מהווה כמעט 100% מהקצובה היומית המומלצת לילדים בגילאי 4-8, 50% לילדים בגילאי 9-13.\r\nגבינת הפטה במנה תורמת לתכולת הנתרן הגבוה. בסופר, השוו בין המותגים השונים של גבינת הפטה ורכשו את המוצר עם תכולת הנתרן הנמוכה ביותר. ","","30","ארוחת ערב, נשנוש, סלטים","אבטיח, זית, כבשים: חלב וגבינה, לימון, מנטה, נענע, פלפל, שחור"
"19","שקדים קלויים עם רוזמרין","נשנוש בניחוח קצת אחר","במחבת על אש בנונית מחממים שמן זית. \r\nמוסיפים את השקדים, רוזמרין, פלפל ומלח ומערבבים עד שכל השקדים מצופים בשמן. \r\nממשיכים לקלות את השקדים עד להשחמה (חשוב לערבב כל הזמן).\r\nמסירים מהאש.\r\nמפזרים על מגבת מטבח עד שהשקדים מתקררים לטמפ\' החדר. \r\nבתאבון!","המנה עשירה בחלבון, המהווה בערך 25% מצריכת החלבון המומלצת למבוגרים מעל גיל 19.\r\nהשקדים עשירים בויטמין E שנחשב לאנטיאוקסידנט (נוגד חימצון) ובכך מגן על תאי הגוף.\r\nהמנה גם עשירה בשומן צמחי חד בלתי רווי אשר ידוע בתכונת הורדת ה LDL ללא פגיעה ב HDL. \r\n\r\n","","20","נשנוש","זית, פלפל, שחור, רוזמרין, שקד"
